MODELS,,,,,,,,,,,,,
,,,,,,,,,,,,,
Model Name,Classifier,Folds,Instances,# instances correctly classified,Accuracy,,,,,,,,
Version 1,RandomForest,10,525,446,84.95%,,,,,,,,
Version 2,RandomForest,10,1004,888,88.45%,,,,,,,,
Version 3,RandomForest,10,1545,1402,90.74%,,,,,,,,
Version 4,RandomForest,40,1545,1405,90.94%,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
TESTING,,,,,,,,,,,,,
,Test Database 1 (size = 15),,Test Database 2 (size = 50),,External Test Database 1 (size = 15),,External Test Database 2 (size = 50),,,,,,
Model Name,# instances correctly classified,Accuracy,# instances correctly classified ,Accuracy ,# instances correctly classified  ,Accuracy  ,# instances correctly classified   ,Accuracy   ,,,,,
Version 1,14,93.33%,33,66%,,,,,,,,,
Version 2,15,100%,38,76%,,,,,,,,,
Version 3,15,100%,39,78%,10,66.67%,36,73.74%,,,,,
Version 4,15,100%,39,78%,,,,,,,,,
